"bp","jeita_cave","z_score_jeita_cave","jerusalem_west_cave","z_score_jerusalem_west_cave","lake_hula","z_score_lake_hula","soreq_cave","z_score_soreq_cave"
4015,-4.94,1.05346107219053,NA,NA,NA,NA,-5.34,-1.0179582980756
4030,NA,NA,NA,NA,NA,NA,-5.36,-1.03735981094505
4032,-5.05,0.83490326012974,NA,NA,NA,NA,NA,NA
4045,NA,NA,NA,NA,NA,NA,-5.36,-1.03735981094505
4050,-5.07,0.795165476118685,NA,NA,NA,NA,NA,NA
4060,NA,NA,NA,NA,NA,NA,-5.47,-1.14406813172699
4067,-4.71,1.51044558831765,NA,NA,NA,NA,NA,NA
4075,NA,NA,NA,NA,NA,NA,-5.49,-1.16346964459644
4085,-5.02,0.894509936146321,NA,NA,NA,NA,NA,NA
4100,NA,NA,NA,NA,NA,NA,-5.42,-1.09556434955338
4102,-5,0.934247720157373,NA,NA,NA,NA,NA,NA
4115,NA,NA,NA,NA,NA,NA,-5.52,-1.19257191390061
4120,-4.94,1.05346107219053,NA,NA,NA,NA,NA,NA
4130,NA,NA,NA,NA,NA,NA,-5.42,-1.09556434955338
4137,-5.04,0.854772152135266,NA,NA,NA,NA,NA,NA
4145,NA,NA,NA,NA,NA,NA,-5.33,-1.00825754164088
4155,-5.07,0.795165476118685,NA,NA,NA,NA,NA,NA
4160,NA,NA,NA,NA,NA,NA,-5.31,-0.988856028771432
4172,-5.15,0.63621434007447,NA,NA,NA,NA,NA,NA
4175,NA,NA,NA,NA,NA,NA,-5.2,-0.882147707989483
4180,NA,NA,NA,NA,-7.55,1.41477756070725,NA,NA
4190,-5.32,0.298443175980515,NA,NA,NA,NA,-5.39,-1.06646208024921
4200,NA,NA,NA,NA,NA,NA,-5.39,-1.06646208024921
4207,-5.05,0.83490326012974,NA,NA,NA,NA,NA,NA
4225,-5.22,0.497132096035784,NA,NA,NA,NA,NA,NA
4229,NA,NA,-6.38,-0.818001588028676,NA,NA,NA,NA
4235,NA,NA,NA,NA,NA,NA,-5.52,-1.19257191390061
4242,-5.09,0.755427692107632,NA,NA,NA,NA,NA,NA
4250,NA,NA,NA,NA,NA,NA,-5.52,-1.19257191390061
4260,-5.11,0.715689908096578,NA,NA,NA,NA,NA,NA
4265,NA,NA,NA,NA,NA,NA,-5.5,-1.17317040103116
4277,-5.15,0.63621434007447,NA,NA,NA,NA,NA,NA
4280,NA,NA,NA,NA,NA,NA,-5.5,-1.17317040103116
4295,-5.28,0.377918744002622,NA,NA,NA,NA,-5.52,-1.19257191390061
4310,NA,NA,NA,NA,NA,NA,-5.51,-1.18287115746589
4312,-4.79,1.35149445227344,NA,NA,NA,NA,NA,NA
4320,NA,NA,NA,NA,NA,NA,-5.54,-1.21197342677005
4330,-5.03,0.874641044140792,NA,NA,NA,NA,NA,NA
4346,NA,NA,-5.64,-0.288465908798115,NA,NA,NA,NA
4347,-4.87,1.19254331622922,NA,NA,NA,NA,NA,NA
4350,NA,NA,NA,NA,NA,NA,-5.66,-1.32838250398673
4365,-5.02,0.894509936146321,NA,NA,NA,NA,NA,NA
4380,NA,NA,NA,NA,NA,NA,-5.82,-1.48359460694229
4382,-5.07,0.795165476118685,NA,NA,NA,NA,NA,NA
4398,-5.19,0.556738772052363,NA,NA,NA,NA,NA,NA
