bp,d18o
56640,-3.58
56685,-3.47
56708,-3.2
56730,-3.48
56753,-3.36
56776,-3.6
56798,-3.35
56821,-3.41
56843,-3.38
56866,-3.22
56889,-3.45
56911,-3.42
56934,-3.39
56957,-3.57
56979,-3.22
57000,-3.2
57025,-3.39
57047,-3.74
57070,-3.49
57093,-3.6
57115,-3.79
57138,-3.57
57160,-3.63
57183,-3.62
57206,-3.16
57228,-3.47
57251,-3.71
57274,-3.88
57296,-4.04
57319,-3.93
57342,-3.86
57387,-4.26
57409,-4.52
57432,-3.83
57455,-4.54
57477,-3.8
57500,-3.84
57460,-3.95
57520,-4.09
57580,-3.93
57630,-3.84
57700,-3.59
57750,-3.56
57810,-3.61
57870,-3.75
57930,-4.13
57990,-4.05
58040,-4.1
58100,-3.94
58160,-3.92
58220,-4.15
58280,-4.23
58340,-4.21
58390,-4.34
58450,-4.13
58510,-3.98
58570,-3.85
58690,-3.95
58750,-3.68
58800,-3.64
58860,-3.71
58920,-3.77
58980,-3.89
59040,-3.89
59100,-3.82
59160,-4.13
59210,-4.03
59270,-3.65
59330,-3.54
59390,-3.67
59450,-3.53
59510,-3.6
59560,-3.62
59620,-3.66
59680,-3.79
59740,-3.97
59800,-4.07
59860,-4.19
59920,-4.15
59970,-3.9
60030,-3.85
60090,-4.01
60150,-3.98
60210,-4.12
60270,-4.22
60330,-3.87
60380,-3.46
60440,-3.42
60500,-3.52
60560,-3.41
60620,-3.41
60680,-3.6
60740,-3.66
60800,-3.77
60670,-3.78
61000,-3.74
61320,-3.8
61640,-4.01
61960,-3.89
62050,-3.47
62280,-3.56
62600,-3.79
62920,-3.51
63240,-3.75
63560,-3.56
63880,-3.38
64200,-3.52
64520,-3.95
64840,-4.12
64700,-3.24
65300,-3.24
65500,-3.12
65900,-3.19
66200,-3.11
66500,-2.97
66800,-3.43
67100,-3.17
67300,-3.43
67600,-3.41
67900,-3.48
68200,-3.45
68500,-3.38
68800,-3.46
69100,-3.32
69400,-3.45
69700,-3.35
70000,-3.39
70100,-3.23
70200,-3.68
70300,-3.75
70400,-3.86
70550,-4.19
70700,-4.12
70800,-3.81
70900,-3.78
71000,-3.8
71100,-3.56
71200,-3.77
71300,-4.25
71400,-4.17
71500,-3.98
71610,-3.63
71640,-3.23
71675,-3.4
71710,-3.51
71740,-3.54
71775,-3.65
71810,-3.66
71840,-3.67
71870,-3.91
71910,-3.82
71940,-3.7
71970,-3.91
72010,-3.89
72040,-4.28
72070,-4.21
72105,-4.44
72140,-4.27
72170,-4.31
72200,-4.38
72237,-4.45
72270,-4.38
72300,-4.6
72335,-4.41
72370,-4.38
72400,-4.47
72435,-4.27
72560,-4.7
72600,-4.82
72630,-4.52
72670,-3.8
72700,-4.2
72730,-3.84
72765,-3.8
72800,-3.66
72830,-3.64
72860,-3.57
72897,-3.49
72930,-3.72
72960,-3.82
72995,-4.06
73030,-3.76
73060,-3.68
73095,-3.59
73130,-3.77
73160,-3.86
73195,-3.92
73230,-4.03
73260,-4.03
73290,-4.04
73325,-3.96
73360,-3.99
73390,-3.92
73425,-4
73460,-4.12
73490,-3.74
73520,-3.96
73555,-4.09
73590,-3.99
73620,-4.22
73655,-4.12
73690,-4.2
73720,-4.09
73755,-3.92
73790,-3.91
73820,-4.09
73850,-3.88
73890,-3.97
73920,-3.91
73950,-3.85
73985,-3.81
74020,-3.83
74050,-3.91
74085,-3.82
74120,-3.8
74150,-3.85
74180,-3.77
74220,-3.83
74250,-3.8
74280,-3.76
74320,-3.77
74350,-3.77
74380,-3.97
74425,-3.99
74450,-3.9
74480,-4.22
74510,-4.14
74545,-4.3
74580,-4.44
74610,-4.38
74645,-4.44
74680,-4.33
74710,-4.22
74745,-4.09
74900,-4.68
75000,-4.66
75300,-4.76
75600,-4.65
75800,-4.65
76100,-4.52
76400,-4.63
76700,-4.52
76900,-4.37
77200,-4.24
77500,-4.43
77800,-4.63
78100,-4.58
78300,-4.92
78600,-5.2
78900,-4.98
79200,-5.58
79400,-5.66
79700,-5.73
80000,-5.81
80400,-5.65
80900,-5.1
81300,-5.41
81700,-5.54
82200,-5.22
82600,-5.06
83000,-5
83500,-5.14
83900,-5.31
84400,-5.34
84800,-5.62
85200,-5.25
85700,-5.06
86100,-5.2
86500,-5.15
87000,-5.18
87400,-5
87800,-5.04
88170,-4.26
88330,-4.31
88480,-4.42
88640,-4.44
88869,-4.44
88800,-4.47
88950,-4.44
89110,-4.43
89270,-4.06
89430,-4.23
89590,-4.39
89740,-4.53
89900,-4.33
90020,-4.47
90380,
90530,-4.41
90690,-4.54
90850,-4.4
91000,-4.35
91160,-4.38
91320,-4.31
91480,-4.26
91630,-4.36
91790,-4.46
91950,-4.43
92110,-4.28
92260,-4.12
92420,-4.3
92580,-4.43
92730,-4.38
92890,-4.5
93050,-4.51
93360,-4.35
93520,-4.36
93680,-4.19
93830,-4.08
93990,-4.07
94150,-4.04
94310,-4.05
94460,-4.04
94620,-4.13
94780,-4.21
94940,-4.2
95090,-4.29
95250,-4.37
95400,-4.44
95560,-4.54
95720,-4.32
95880,-4.27
96100,-4.16
96400,-4.28
96800,-4.2
97100,-4.15
97500,-4.29
97900,-4.2
98200,-4.43
98600,-4.1
98900,-4.41
99300,-4.23
99600,-4.24
100000,-4.14
100090,-4.1
100180,-4.27
100210,-5.5
100340,-5.57
100460,-4.73
100590,-4.51
100720,-4.75
100840,-4.9
100970,-5.48
101100,-5.73
101220,-5.49
101350,-5.65
101480,-5.78
101600,-5.93
101730,-6.23
101860,-5.71
101980,-5.79
102110,-5.41
102240,-5.33
102360,-5.44
102490,-5.37
102620,-5.69
102740,-5.49
102870,-6.01
103000,-6
103120,-5.43
103250,-5.32
103380,-5.5
103500,-5.47
103630,-4.82
103760,-5.02
103890,-4.84
104160,-4.7
104420,-4.71
104690,-4.88
104950,-4.9
105220,-4.62
105480,-4.2
105740,-5.19
106000,-5.1
106270,-6.44
106540,-6.95
106800,-6.99
107060,-5.92
107330,-6.15
107590,-5.51
107860,-5.51
108120,-5.43
108390,-5.16
108650,-5.31
108910,-4.91
109180,-4.66
109440,-4.45
109920,-4.71
110500,-4.74
111080,-4.84
111670,-4.82
112650,-4.58
112830,-4.56
113420,-4.71
114140,-4.66
114200,-4.63
114260,-4.87
114310,-4.82
114370,-4.71
114430,-4.95
114490,
114550,-4.93
114610,-4.7
114660,-4.68
114720,-4.88
114780,-4.76
114840,-4.78
114900,-4.85
114960,-4.87
115010,-4.97
115070,-5.09
115130,-4.81
115190,-5.01
115250,-4.8
115310,-4.95
115360,-5.14
115420,-5.05
115480,-5.17
115540,-5.06
115600,-5.04
115670,-5.06
115710,-5.06
115770,-4.9
115830,-5.08
115890,-4.99
115950,-5.03
116000,-4.89
116060,-4.89
116120,-4.5
116180,-4.85
116240,-4.89
116300,-4.91
116350,-5
116410,-5.13
116470,-5.1
116530,-4.98
116590,-5.17
116650,-5.19
116700,-5.06
116760,-5.07
116820,-5.07
116880,-5.15
116940,-5.14
117000,-5.24
117050,-5.2
117110,-5.21
117170,-5.15
117230,-5.13
117290,-5.2
117350,-5.11
117400,-5.23
117460,-5.25
117520,-5.24
117580,-5.15
117640,-5.13
117700,-5.22
117740,-5.21
117810,-5.06
117870,-5.1
117930,-5.35
117990,-5.34
118050,-5.32
118100,-5.21
118170,-5.04
118220,-5.17
118280,-5.37
118340,-5.46
118400,-5.4
118450,-5.42
118510,-5.39
118570,-5.23
118630,-5.1
118690,-5.14
118750,-4.99
119500,-7
120000,-7.01
120500,-7.8
120970,-7.63
121600,-8.04
122300,-8.15
122900,-7.96
123500,-8.3
124200,-8.24
124800,-8.34
125500,-8.29
126100,-8.29
126700,-8.25
127400,-7.85
128000,-7.64
128000,-7.21
128060,-7.55
128130,-7.19
128190,-6.23
128250,-6.41
128310,-6.24
128380,-5.67
128440,-5.86
128500,-5.7
128560,-5.3
128630,-5.2
128690,-5.36
128750,-5.43
128810,-5.65
128880,-5.44
129000,-5.69
129480,-5.77
129900,-5.66
130300,-5.41
130750,-5.4
131170,-5.6
131590,-5.44
132000,-5.15
132400,-4.77
132870,-5.57
133290,-5.23
133710,-5.5
134130,-5.3
134560,-5.01
134570,-4.8
134600,-4.75
134750,-4.79
134900,-5.36
135050,-4.6
135200,-4.39
135350,-3.79
135500,-3.74
135650,-3.65
135800,-3.18
135950,-3.54
136100,-3.28
136250,-3.29
136400,-3.39
136550,-3.52
136700,-3.18
136850,-3.24
137000,-3.51
137150,-3.57
137300,-3.75
137450,-3.58
137600,-3.59
137750,-3.72
137900,-3.67
138050,-3.51
138200,-3.78
138350,-3.9
138500,-3.27
138650,-3.39
138800,-3.3
138950,-3.16
139100,-3.52
139250,-3.39
139400,-3.38
139550,-3.15
139700,-3.39
139850,-3.26
140000,-2.97
140150,-2.91
140300,-3.67
140450,-3.55
140600,-3.31
140700,-3.09
140800,-3.4
140900,-3.29
141000,-3.46
141100,-3.43
141200,-3.2
141300,-3.13
141400,-3.21
141500,-3.21
141600,-3.24
141700,-3.24
141800,-3.58
141900,-3.46
142000,-3.4
142100,-3.31
142200,-3.41
142300,-3.55
142400,-3.47
142500,-3.52
142600,-3.75
142700,-3.77
142800,-3.9
142900,-4.05
143000,-4.07
143100,-4.01
143200,-4.17
143300,-4.14
143400,-3.99
143500,-4.04
143600,-4.14
143700,-4.38
143800,-4.41
143900,-4.29
144000,-4.78
144100,-5.15
144200,-4.82
144300,-4.89
144400,-4.86
144500,-4.8
144600,-5.01
144700,-5.07
144900,-5.11
145000,-4.88
145200,-4.71
145500,-4.38
145650,-4.42
145800,-4.12
145930,-4.22
146100,-4.29
146230,-4.41
146380,-4.47
146500,-4.63
146670,-4.25
146820,-4.46
146970,-4.32
147120,-4.69
147260,-4.44
147420,-4.51
147560,-4.93
147710,-4.74
147860,-4.84
148000,-4.47
148150,-4.61
148300,-4.73
148450,-5.16
148600,-5.06
148750,-5.05
148900,-5.15
149050,-4.94
149200,-5.29
149350,-5.34
149500,-5.47
149630,-5.26
149780,-4.88
149930,-4.57
150080,-4.35
150220,-4.61
150370,-4.34
150520,-4.56
150670,-5.19
150820,-4.38
150960,-5.32
151110,-5.54
151260,-5.36
151410,-5.5
151560,-5.81
151700,-5.94
151850,-5.62
152000,-5.93
152400,-6.15
152800,-5.87
153200,-5.77
153600,-5.49
154000,-5.55
154400,-5.79
154800,-5.49
155200,-5.55
155600,-4.09
156000,-3.48
156400,-3.12
156800,-2.93
157200,-3.07
157600,-3.1
158000,-3.24
158400,-3.22
158800,-3.1
159200,-3.13
159500,-3.16
159900,-3.29
160300,-3.63
160700,-3.1
161100,-3.46
161500,-3.07
161900,-3.15
162300,-3.05
162700,-3.2
163100,-3.36
163500,-4.22
163900,-3.9
164300,-3.93
164700,-3.82
165100,-4.31
165500,-3.69
166000,-3.76
166650,-3.78
167000,-3.96
168000,-3.42
169100,-3.77
170000,-3.9
170500,-3.69
171000,-3.65
171500,-3.49
172000,-3.43
172500,-3.27
173000,-3.23
174000,-3.32
175000,-3.16
176000,-3.57
176500,-4.11
177000,-4.07
177500,-5.48
178000,-5.72
178300,-5.71
178500,-5.56
179000,-5.52
179500,-5.49
180000,-5.46
180500,-5.37
180700,-4.98
180900,-4.04
181100,-4.03
181400,-4.42
181600,-3.55
182000,-3.38
184000,-3.04
