bp,d18o
6438,-5.89
6443,-5.78
6449,-5.65
6454,-5.73
6460,-5.64
6465,-5.61
6471,-5.67
6476,-5.62
6482,-5.64
6487,-5.92
6493,-5.95
6498,-5.92
6503,-5.65
6507,-5.62
6512,-5.63
6516,-5.75
6521,-5.88
6525,-5.72
6530,-5.65
6534,-5.71
6539,-5.68
6543,-5.75
6548,-5.81
6552,-5.6
6556,-5.77
6561,-5.86
6565,-6
6570,-5.67
6574,-5.76
6579,-5.69
6583,-5.58
6588,-5.89
6592,-5.71
6597,-5.71
6601,-5.74
6606,-5.71
6610,-5.71
6614,-5.72
6619,-5.63
6623,-5.79
6628,-5.79
6632,-6.08
6637,-6.12
6641,-6.2
6646,-5.99
6650,-5.88
6655,-5.9
6659,-5.68
6664,-5.73
6668,-5.85
6672,-5.84
6677,-6.02
6681,-6.13
6686,-6.04
6690,-6.15
6695,-5.86
6700,-5.96
6705,-5.95
6710,-6.07
6715,-6.09
6720,-6.03
6725,-5.72
6730,-5.97
6735,-5.73
6740,-5.51
6745,-5.67
6750,-5.76
6755,-5.76
6760,-5.75
6765,-5.59
6770,-5.7
6775,-5.68
6780,-5.86
6785,-5.98
6790,-5.98
6795,-5.87
6800,-6.01
6805,-6.09
6811,-6.05
6816,-5.95
6821,-5.92
6826,-5.9
6831,-5.79
6836,-5.83
6841,-5.95
6846,-5.99
6851,-5.91
6856,-6.02
6861,-6.19
6866,-6.03
6871,-5.83
6876,-5.83
6881,-5.76
6886,-5.87
6891,-5.71
6896,-5.75
6901,-5.84
6906,-5.89
6911,-5.84
6916,-5.85
6921,-5.82
6926,-5.93
6931,-5.52
6936,-5.55
6941,-5.65
6946,-5.62
6951,-5.63
6956,-5.79
6962,-5.86
6962,-5.83
6963,-5.88
6964,-5.9
6964,-5.91
6965,-5.96
6966,-6.01
6967,-5.95
6967,-5.69
6968,-5.8
6969,-5.71
6969,-5.89
6970,-5.69
6971,-5.8
6972,-5.65
6972,-5.65
6973,-5.55
6974,-5.87
6974,-5.65
6975,-5.85
6976,-5.79
6984,-5.94
6992,-5.75
7000,-5.77
7008,-5.58
7016,-5.64
7024,-5.61
7032,-5.65
7040,-5.69
7049,-5.74
7057,-5.62
7065,-5.72
7073,-5.68
7081,-5.8
7089,-5.71
7097,-5.74
7105,-5.66
7113,-5.89
7121,-5.67
7129,-5.85
7137,-5.73
7145,-5.67
7154,-5.77
7162,-5.77
7170,-5.71
7178,-5.73
7186,-5.71
7194,-5.97
7202,-6.01
7210,-6.02
7218,-5.91
7226,-5.95
7234,-5.8
7242,-6.09
7250,-5.88
7259,-5.77
7267,-5.46
7275,-5.8
7283,-5.65
7291,-5.83
7299,-5.83
7307,-5.84
7315,-5.68
7323,-5.72
7324,-5.89
7325,-5.74
7326,-5.84
7327,-5.78
7327,-5.84
7328,-5.99
7329,-5.93
7330,-6.03
7331,-5.68
7332,-5.81
7332,-5.78
7333,-5.7
7334,-5.74
7335,-5.93
7336,-5.73
7337,-5.83
7337,-5.62
7338,-5.73
7339,-5.62
7340,-5.7
7341,-5.64
7342,-5.58
7346,-5.86
7351,-6.11
7355,-5.85
7360,-5.82
7365,-5.55
7369,-5.77
7374,-5.64
7378,-5.82
7383,-5.84
7387,-5.95
7392,-5.48
7397,-5.6
7401,-5.75
7406,-5.81
7410,-5.73
7415,-5.96
7419,-5.66
7424,-5.67
7429,-5.82
